Word,Level,Synonym 1,Synonym 2,Synonym 3,Antonym,Definition,Sample Sentence 
Soothe,,Calm,Comfort,Appease,Infuriate,To calm down,George tried to soothe the baby's crying by giving him his milk bottle.
Scrumptious ,,Appetising,Palatable,Tasty,Disgusting,Incredibly delicious,My mother's seaweed soup was the most scrumptious thing in the world.
Strive,,Endeavour,Effort,,,To try hard for,Harry strived hard to get good marks at school. He studied every day and did all his school/tutoring homework.
Courteous,,Chivalrous,Respectful,,Inconsiderate,To be polite and well-mannered,The king behaved courteously towards the slave. The king was famous for his kindness and his humility.
Pantry,,Larder,,,,"A place usually in a kitchen where you store food, like snacks","When Bob was bored, he likes to open the pantry door to see if there were any scrumptious snacks he could devour."
Considerate,,Thoughtful,Caring,Courteous,Callous,Careful not to inconvenience or harm others,"I wished my sister was more considerate. The other day, when I cried she started laughing."
Hoodwink,,Cheat,Dupe,,,To deceive,The fraudster hoodwinked the innocent grandma of her money.
Resent,,Detest,Abhor,Despise,Love,To hate,She resented the fact that she had to go to the dentist later. She was very fearful and afraid of the dentist.
Desolate,,Barren,Lonely,Alone,Together,To be alone or feel alone,"The house was desolate, it was in the middle of nowhere in the scorching desert."
Guile,,Sly,Cunning ,Shrewdness,Honest,Sly or cunning intelligence,You might have to be  guile to find what's going on.
Assertive,,Upfront,Forceful,Confident,Meek,Confident and forceful,Some essential qualities of a leader is that they are kind and assertive.
Prudent,,Wise,Smart,,,Showing care for the future,"As children grow into adults, they become more prudent."
Tenacious,,Firm,Determined,Spirited,Weak,Trying hard,"Abby was a high-achiever in sports, academics and music because she was incredulously tenacious with everything she did."
Abhorrent,,Detestable,Disgusting,Disliked,,When something is disliked ,Racism is abhorrent and will not be tolerated in our school.
Fervent,,Passionate,Excited,Sincere,Apathetic,"When doing something, it is done sincerely",Greg fervently protested for the allowance of same-sex marriage.
Candid,,Truthful,Frank,Sincere,Dishonest,Telling the truth,The married couple was also very candid about their feelings which helped them to have no misunderstanding.
Resolute,,Determined,Passionate,Sincere,,Trying your best,George was resolute to get into a selective school and spent 10 hours a day studying.
Bashful,,Shy,Nervous,Timid,Outgoing,When nervous or timid in the presence of others,"Mia bashfully offered her pencil sharpener to Timothy, the most popular boy in class when the lead of his pencil snapped."
Abash,,Embarrassed,Disconcerted,Ashamed,Proud,When Scared/embarrassed of a certain thing,Hugh was abashed when the teacher berated him for talking during the test.
Arduous,,Effort,Difficult,Tiring,Easy,Involving strenuous effort,Olympic swimmers undergo arduous practices so they can win gold for their country in the olympic games.
Cajole,,Flattery,Pleasant talk,Praise,Criticise,To persuade someone to do something with pleasant talk,He hoped to cajole her into selling him her house.
Subsequent,,Following ,Resulting ,Consequently,Begin,Coming after something in time,The teacher subsequently praised the boy after he came first in the class test.
Recuperate ,,Recover,Heal,Restore,Deteriorate,To recover from illness,It took Tim three days to recuperate from the flu.
Meticulous,,Scrupulous,Careful,Exact,Careless,To be accurate,The child over in the corner works meticulously during class.
Nonchalant,,Uninterested,Careless,Unconcerned,Attentive,To not care,She gave a nonchalant shrug to the teacher.
Lenient,,Merciful,Caring,Sparing ,Strict,To save or refrain from violence that is justified,"To their surprise, the judge was quite lenient on the burglar."
Vindictive,,Vengeful,,,Merciful,To desire or seek revenge,The criticism was both vindictive and personalised.
Spiteful,,Malicious,Evil,Mean,Kind,When the intent is bad,The teachers made spiteful little jokes about me.
Enchanting,,Charming ,Attractive,Beautiful,Ugly,Being charming or lovely,"When the cake was laid in front of me, it looked enchanting, making my eyes follow it."
Fickle ,,Erratic,Frequent,Often,Rarely,Changing frequently likely to change your opinion.,The public is fickle with their interest in celebrities.
Atrocious,,Horrifying ,Wicked,Poor quality,Good,When something is of very poor quality.,Mandy make an atrocious attempt at making brownies.
Ballistic,,Wild,,,Stable,,The small girl went ballistic at Kmart when her mum refused to buy her new barbie doll.
Remote,,Distant,Far,Barren,City,When you're in the middle of nowhere.,We visited remote villagers in Africa and saw the decrepit houses and water system they had.
Illiterate,,,,,,Unable to read or write,Many children in the remote villages in mainland china are illiterate.
Exhalation,,,,,,The process or action of exhaling (breathing out),She had no problem with inhaling but she had problems with exhaling
Apprehensive,,Anxious,Scared,,Confident,Anxious or fearful that something bad or unpleasant will happen in the future.,Nina was apprehensive about the future because she failed to pass the interview.
Arrogant,,Haughty,Conceited,Rude,Modest,Full of oneself,Arrogant people have an exaggerated sense of one's importance or abilities.
Insolent ,,Rude ,Arrogant,Disrespectful,Nice,Showing a rude attitude,There is always that one insolent kid in your class that annoys the teacher.
Tentative,,Hesitant,Cautious,Scared,Confident,Something done with caution because the results are certain yet,She took a tentative step onto the plane.
Reverie,,Daydream,Hallucination,Fantasy,Focused,Lost is one's own thoughts,James had a brief reverie about him eating all his favourite snacks on a cloud.
Animated,,Exuberant,Vigorous,Lively,Slow,Full of life or excitements,"Lan always talked about maths, debating and other things in life that she liked."
Aptitude,,Talent,Ability,Capacity,Limitless,A natural ability at one thing,The boy had an aptitude for maths.
Trifling,,Unimportant,Trivial,Insignificant,Major,When something or one is not needed,"Fortunately, the stormy waves caused trifling damage to the boat."
Contemplate,,Observe,Inspect,Focus,Scorn,To deeply think about ,"Fiona stood inside the jewellery shop, contemplating whether she should get a diamond necklace or a pair of diamond earrings. "
Persistent,,Resolute,Passionate,Sincere,Joke,Continuing firmly ,The reporters were persistent on interviewing the celebrity.
Solitude,,Alone,Barren,Away,Together,State of being alone in a place or situation,The monk lived 20 years into solitude on the island to meditate.
Scarce,,Scanty,Sparse,Deficient,Plentiful,When something is not enough,Food became scarce and people started to die from starvation.
Famine,,Scarce,Scanty ,Deficient ,Abundant,Extreme scarcity of food ,The famine went on for too long and consequently half the civilization died from starvation.
Glutton,,Greedy,Hog,Overeater,Starve,Eating a lot of food,"You've eaten the whole pie, you glutton!"
Opaque,,Non-transparent,Unclear,Cloudy,,When something is not clear or cloudy,The glass was made of opaque glass so that the contents inside could not be seen. 
